Plant,label,WW_1,WW_2,WW_mean,Stool_1,Stool_2,Stool_3,Stool_4,Stool_5,Stool_6,Stool_7,Stool_8,Stool_9,Stool_10,Stool_11,Stool_12,Stool_13,Stool_14,Stool_mean
Tropical cherry,,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Mint,,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
"Water spinach, Sweet potato",,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Dinseng,,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
"Legume, Pea, Bean",,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Sapotaceae evergreen fruit,,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Sweet basil,,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
"Anise Hyssop, Lemon Balm, Rosemary",,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Lima bean,,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Nutmeg,,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Fava bean,,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Fenugreek,,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Horseradish,,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Betal nut,,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Goosefoot,,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Epazote,,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
